round,season,raceName,circuitId,circuitName,locality,country,lat,lng,date,time,isSprint,sessions
1,2025,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2025-03-16,04:00:00Z,false,"[{""name"":""Practice 1"",""date"":""2025-03-14"",""time"":""01:30:00Z""},{""name"":""Practice 2"",""date"":""2025-03-14"",""time"":""05:00:00Z""},{""name"":""Practice 3"",""date"":""2025-03-15"",""time"":""01:30:00Z""},{""name"":""Qualifying"",""date"":""2025-03-15"",""time"":""05:00:00Z""},{""name"":""Race"",""date"":""2025-03-16"",""time"":""04:00:00Z""}]"
2,2025,Chinese Grand Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2025-03-23,07:00:00Z,true,"[{""name"":""Practice 1"",""date"":""2025-03-21"",""time"":""03:30:00Z""},{""name"":""Sprint Qualifying"",""date"":""2025-03-21"",""time"":""07:30:00Z""},{""name"":""Sprint"",""date"":""2025-03-22"",""time"":""03:00:00Z""},{""name"":""Qualifying"",""date"":""2025-03-22"",""time"":""07:00:00Z""},{""name"":""Race"",""date"":""2025-03-23"",""time"":""07:00:00Z""}]"
3,2025,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2025-04-06,05:00:00Z,false,"[{""name"":""Practice 1"",""date"":""2025-04-04"",""time"":""01:30:00Z""},{""name"":""Practice 2"",""date"":""2025-04-04"",""time"":""05:00:00Z""},{""name"":""Practice 3"",""date"":""2025-04-05"",""time"":""01:30:00Z""},{""name"":""Qualifying"",""date"":""2025-04-05"",""time"":""05:00:00Z""},{""name"":""Race"",""date"":""2025-04-06"",""time"":""05:00:00Z""}]"
4,2025,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2025-04-13,15:00:00Z,false,"[{""name"":""Practice 1"",""date"":""2025-04-11"",""time"":""11:30:00Z""},{""name"":""Practice 2"",""date"":""2025-04-11"",""time"":""15:00:00Z""},{""name"":""Practice 3"",""date"":""2025-04-12"",""time"":""11:30:00Z""},{""name"":""Qualifying"",""date"":""2025-04-12"",""time"":""15:00:00Z""},{""name"":""Race"",""date"":""2025-04-13"",""time"":""15:00:00Z""}]"
5,2025,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,2025-04-20,17:00:00Z,false,"[{""name"":""Practice 1"",""date"":""2025-04-18"",""time"":""13:30:00Z""},{""name"":""Practice 2"",""date"":""2025-04-18"",""time"":""17:00:00Z""},{""name"":""Practice 3"",""date"":""2025-04-19"",""time"":""13:30:00Z""},{""name"":""Qualifying"",""date"":""2025-04-19"",""time"":""17:00:00Z""},{""name"":""Race"",""date"":""2025-04-20"",""time"":""17:00:00Z""}]"
6,2025,Miami Grand Prix,miami,Miami International Autodrome,Miami,United States,25.958,-80.2389,2025-05-04,19:30:00Z,true,"[{""name"":""Practice 1"",""date"":""2025-05-02"",""time"":""16:30:00Z""},{""name"":""Sprint Qualifying"",""date"":""2025-05-02"",""time"":""20:30:00Z""},{""name"":""Sprint"",""date"":""2025-05-03"",""time"":""16:00:00Z""},{""name"":""Qualifying"",""date"":""2025-05-03"",""time"":""20:00:00Z""},{""name"":""Race"",""date"":""2025-05-04"",""time"":""19:30:00Z""}]"
7,2025,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,2025-05-18,13:00:00Z,false,"[{""name"":""Practice 1"",""date"":""2025-05-16"",""time"":""10:30:00Z""},{""name"":""Practice 2"",""date"":""2025-05-16"",""time"":""14:00:00Z""},{""name"":""Practice 3"",""date"":""2025-05-17"",""time"":""10:30:00Z""},{""name"":""Qualifying"",""date"":""2025-05-17"",""time"":""14:00:00Z""},{""name"":""Race"",""date"":""2025-05-18"",""time"":""13:00:00Z""}]"
8,2025,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,2025-05-25,13:00:00Z,false,"[{""name"":""Practice 1"",""date"":""2025-05-22"",""time"":""11:30:00Z""},{""name"":""Practice 2"",""date"":""2025-05-22"",""time"":""15:00:00Z""},{""name"":""Practice 3"",""date"":""2025-05-24"",""time"":""10:30:00Z""},{""name"":""Qualifying"",""date"":""2025-05-24"",""time"":""14:00:00Z""},{""name"":""Race"",""date"":""2025-05-25"",""time"":""13:00:00Z""}]"
9,2025,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111,2025-06-01,13:00:00Z,false,"[{""name"":""Practice 1"",""date"":""2025-05-30"",""time"":""10:30:00Z""},{""name"":""Practice 2"",""date"":""2025-05-30"",""time"":""14:00:00Z""},{""name"":""Practice 3"",""date"":""2025-05-31"",""time"":""10:30:00Z""},{""name"":""Qualifying"",""date"":""2025-05-31"",""time"":""14:00:00Z""},{""name"":""Race"",""date"":""2025-06-01"",""time"":""13:00:00Z""}]"
10,2025,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2025-06-15,18:00:00Z,false,"[{""name"":""Practice 1"",""date"":""2025-06-13"",""time"":""17:30:00Z""},{""name"":""Practice 2"",""date"":""2025-06-13"",""time"":""21:00:00Z""},{""name"":""Practice 3"",""date"":""2025-06-14"",""time"":""16:30:00Z""},{""name"":""Qualifying"",""date"":""2025-06-14"",""time"":""20:00:00Z""},{""name"":""Race"",""date"":""2025-06-15"",""time"":""18:00:00Z""}]"
